[9.183022], -16.861376, 0.000003
[9.243026], -15.945480, 0.000003
[9.303020], -15.029409, 0.000004
[9.363023], -14.112869, 0.000004
[9.423028], -13.211980, 0.000004
[9.483026], -12.245732, 0.000004
[9.543021], -11.294758, 0.000004
[9.603641], -10.333241, 0.000004
[9.663028], -9.389066, 0.000005
[9.722998], -8.452851, 0.000005
[9.783002], -7.496976, 0.000005
[9.842997], -6.577476, 0.000005
[9.902999], -5.599897, 0.000006
[9.962999], -4.679438, 0.000006
[10.023002], -3.718306, 0.000006
[10.083022], -2.796622, 0.000006
[10.143015], -1.811750, 0.000007
[10.203026], -0.889212, 0.000007
[10.263065], 0.034245, 0.000007
[10.323017], 0.956909, 0.000008
[10.383018], 1.903930, 0.000008
[10.443016], 2.993927, 0.000009
[10.503019], 3.919097, 0.000009
[10.563019], 4.869684, 0.000010
[10.623219], 5.875489, 0.000010
[10.683026], 6.825719, 0.000011
[10.743026], 7.833751, 0.000011
[10.803221], 8.792516, 0.000012
[10.863027], 9.690418, 0.000012
[10.923027], 10.620100, 0.000013
[10.983030], 11.668848, 0.000013
[11.043030], 12.721680, 0.000014
[11.103024], 13.778704, 0.000015
[11.163023], 14.711653, 0.000016
[11.223026], 15.612513, 0.000017
[11.283025], 16.715899, 0.000018
[11.343222], 17.654457, 0.000019
[11.403033], 18.588109, 0.000020
[11.463023], 19.598562, 0.000021
[11.523031], 20.574741, 0.000022
[11.583031], 21.514200, 0.000023
[11.643217], 22.536802, 0.000024
[11.703033], 23.434854, 0.000026
[11.763033], 24.377510, 0.000027
[11.823036], 25.364297, 0.000029
[11.883036], 26.309288, 0.000030
[11.943034], 27.255449, 0.000032
[12.003034], 28.249500, 0.000034
[12.063027], 29.246141, 0.000036
[12.123032], 30.245759, 0.000038
[12.183035], 31.248250, 0.000041
[12.243062], 32.254116, 0.000043
[12.303034], 33.208398, 0.000046
[12.363032], 34.109182, 0.000049
[12.423030], 35.066891, 0.000051
[12.483026], 36.143355, 0.000055
[12.543035], 37.286254, 0.000058
[12.603655], 38.196377, 0.000063
[12.663032], 39.280847, 0.000066
[12.723032], 40.248172, 0.000071
[12.783035], 41.491573, 0.000076
[12.843034], 42.392372, 0.000082
[12.903032], 43.293157, 0.000087
[12.963037], 44.269307, 0.000093
[13.023036], 45.247686, 0.000099
[13.083025], 46.548281, 0.000106
[13.143025], 47.532405, 0.000116
[13.203219], 48.693995, 0.000124
[13.263032], 50.037721, 0.000135
[13.323026], 51.031462, 0.000148
[13.383034], 52.124456, 0.000159
[13.443034], 53.124691, 0.000172
[13.503023], 54.127991, 0.000185
[13.563027], 55.664798, 0.000199
[13.623218], 56.902140, 0.000224
[13.683035], 58.263064, 0.000246
[13.743030], 59.284585, 0.000273
[13.803033], 60.435132, 0.000296
[13.863032], 62.241652, 0.000325
[13.923035], 63.415474, 0.000375
[13.983035], 64.316289, 0.000414
[14.043034], 65.801133, 0.000447
[14.103028], 67.614351, 0.000506
[14.163037], 68.834700, 0.000591
[14.223072], 70.400293, 0.000663
[14.283040], 71.300627, 0.000763
[14.343028], 72.557645, 0.000838
[14.403028], 73.641565, 0.000943
[14.463026], 74.730660, 0.001054
[14.523026], 76.210448, 0.001180
[14.583029], 77.307767, 0.001367
[14.643225], 78.614788, 0.001558
[14.703032], 79.512705, 0.001802
[14.763027], 81.247080, 0.002042
[14.823035], 82.547858, 0.002451
[14.883035], 83.448672, 0.002936
[14.950539], 84.655580, 0.003473
[15.013016], 86.314160, 0.004130
[15.072999], 87.623000, 0.005050
[15.133017], 88.696621, 0.006153
[15.193002], 89.624951, 0.007360
[15.253025], 90.484553, 0.008552
[15.313005], 91.264439, 0.009543
[15.373018], 91.571567, 0.010127
[15.432998], 92.007523, 0.010454
[15.493016], 92.908608, 0.010422
[15.553001], 92.831532, 0.009699
[15.613316], 93.737075, 0.009244
[15.673033], 93.962746, 0.008302
[15.733028], 94.543849, 0.007562
[15.793036], 94.489778, 0.006782
[15.853035], 94.212717, 0.006332
[15.913030], 94.022100, 0.006161
[15.973034], 94.137845, 0.006122
[16.033032], 95.038629, 0.006049
[16.093022], 95.077326, 0.005651
[16.153031], 94.598982, 0.005393
[16.213359], 94.226679, 0.005391
[16.273039], 95.122689, 0.005516
[16.333320], 94.936564, 0.005293
[16.393036], 95.572195, 0.005217
[16.453031], 95.926907, 0.004964
[16.513034], 96.012826, 0.004705
[16.573029], 96.120024, 0.004530
[16.633219], 96.502736, 0.004398
[16.693031], 96.876299, 0.004224
[16.753031], 97.253532, 0.004035
[16.813029], 98.154316, 0.003844
[16.873024], 98.000195, 0.003554
[16.933022], 97.895924, 0.003437
[16.993027], 98.059842, 0.003395
[17.053056], 98.223541, 0.003343
[17.113024], 98.632754, 0.003287
[17.173030], 98.543996, 0.003188
[17.233032], 99.202149, 0.003153
[17.293027], 99.608658, 0.003029
[17.353026], 99.773317, 0.002908
[17.413034], 100.190755, 0.002827
[17.473029], 100.850163, 0.002732
[17.533022], 101.750872, 0.002603
[17.593022], 101.207845, 0.002441
[17.653217], 101.186092, 0.002433
[17.713034], 101.160560, 0.002433
[17.773034], 101.369089, 0.002435
[17.833036], 101.342180, 0.002413
[17.893031], 101.781177, 0.002406
[17.953029], 101.983873, 0.002356
[18.013034], 102.653279, 0.002313
[18.073032], 101.695124, 0.002228
[18.133032], 101.697031, 0.002288
[18.193223], 101.918758, 0.002314
[18.253048], 102.358135, 0.002302
[18.313029], 102.335490, 0.002253
[18.373022], 102.550329, 0.002235
[18.433027], 103.222514, 0.002207
[18.493025], 103.893426, 0.002132
[18.553025], 103.421744, 0.002045
[18.613320], 103.879662, 0.002051
[18.673032], 104.776153, 0.002016
[18.733027], 104.998778, 0.001931
[18.793035], 105.230899, 0.001883
[18.853035], 104.581804, 0.001850
[18.913028], 104.827077, 0.001884
[18.973028], 105.066151, 0.001879
[19.033036], 105.525296, 0.001860
[19.093030], 105.984018, 0.001821
[19.153030], 106.224387, 0.001776
[19.213023], 106.687824, 0.001745
[19.273033], 107.370773, 0.001705
[19.333026], 108.054274, 0.001651
[19.393031], 108.739510, 0.001595
[19.453029], 109.212479, 0.001542
[19.513030], 109.477255, 0.001502
